"ID","Owner","Created Date","Updated Date","Submission Time","Ingredient Name","Multi Selection Field 2","Multi Selection Field 3","Multi Selection Field 4","Multi Selection Field 5","Paragraph Field","Multi Selection Field","Multi Selection Field 6","Multi Selection Field 7","Short Text Field"
"0df768c7-fabd-4035-b48e-6385300423a5","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Sea Buckthorn Oil","Mature & Aging Skin","Carrier Oil",,"Oil Soluble","NOT DONE YET","Moisturising,Emollient,Hydrating,Antioxidant,Smoothing","Medium absorbency","1 very low likelihood of clogging pores",
"3628b068-3969-47e8-97f2-db48d4e5e90a","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Sea Lettuce","Dry Skin",,,,,"Moisturising,Anti-inflammatory,Soothing",,,
"40bef1b8-8e72-4798-9b8a-89382154d129","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Sesame Oil","Dry Skin,Oily & Acne Prone Skin","Carrier Oil",,,,"Moisturising,Emollient,Hydrating,Smoothing",,,
"acf9a8dc-aedf-4ee2-8e47-74ac2d71a8f5","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Shea Butter","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Butter",,"Oil Soluble","NOT DONE YET","Moisturising,Emollient,Occlusive,Hydrating,Anti-inflammatory,Soothing,Calming,Smoothing","Medium absorbency","2 moderately low likelihood",
"e5da7b58-1ba0-4042-ba9b-7a99156c7bd1","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Sodium Lactate","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin",,,,,"Moisturising,Humectant,Hydrating,Soothing,Calming,Smoothing",,,
"1b7acb81-08d5-47f7-a68f-93de83fae9e1","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Soybean","Dry Skin,Sensitive & Eczema Prone Skin","Carrier Oil",,,,"Moisturising,Emollient,Hydrating,Soothing,Calming",,,
"c4ecf8a2-fe4d-4856-9ed9-ea0aa1c001ab","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Spikenard",,"Essential Oil",,"Oil Soluble","TO BE DONE",,,,
"e4f04430-a203-45b7-9b62-efb197528148","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Sweet Almond Oil","Dry Skin,Mature & Aging Skin","Carrier Oil",,"Oil Soluble","Nut Oil","Moisturising,Emollient","Slow absorbency","2 moderately low likelihood",
"589de1c9-71f3-4c5c-9a1e-737b155313b6","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Tea Tree Essential Oil","Oily & Acne Prone Skin","Essential Oil","Top","Oil Soluble","No known contraindications","Anti-inflammatory,Antibacterial,Antiseptic",,,
"068b5727-b223-4e07-8b71-60e79e7b60eb","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Turmeric Root","Mature & Aging Skin",,,,,"Anti-inflammatory,Antioxidant,Promote brightening",,,
"384a4932-a2c3-4987-af20-9d9378ef6233","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Vitamin B3 Niacinamide","Mature & Aging Skin",,,,,"Age spot appearance reduction",,,
"1dfc3704-70b8-4670-a1e9-162e007f206f","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Vitamin C Liquid","Dry Skin,Mature & Aging Skin",,,,"NOT DONE YET","Antioxidant,Promotes collagen production,Age spot appearance reduction,Skin lightening",,,"Up to 1% in an oil based products such as creams, face and body preparations, hand & nail creams and treatment masks."
"606d0bc4-e639-466e-bfe2-cdf85035925f","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Vitamin E","Mature & Aging Skin","High Performance",,"Oil Soluble","NOT DONE YET","Antioxidant",,,
"4284ab6a-abee-4309-9e20-34aa19e51ff1","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Walnut Oil",,"Carrier Oil",,"Oil Soluble","Nut Oil",,,,
"c2a6e286-c1bd-4412-babf-7a34c6a293e0","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"White Willow Bark","Sensitive & Eczema Prone Skin","Extract",,,,"Anti-inflammatory,Soothing,Calming",,,
"1493261d-a17e-48f3-a65d-a545e017ee0c","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Witch Hazel Infused Water","Sensitive & Eczema Prone Skin","Hydrosol",,"Water Soluble","NOT DONE YET","Anti-inflammatory,Soothing,Calming",,,
"4dfa0210-26d9-437f-8b0f-fb647eda4296","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Ylang Ylang","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Essential Oil","Base","Oil Soluble","No known contraindications
Very strong aroma
Use in moderation","Balance sebum production,Antiseptic",,,
"b22c5105-667d-4b81-a0af-c641e8dda7a4","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Aloe Vera","Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin","Extract",,"Water Soluble","NEED TO FIND","Anti-inflammatory,Soothing,Calming",,,
"fd4f340d-dcf3-4211-97e7-415d504d82bc","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Aloe Vera Juice",,,,,"NOT DONE YET",,,,
"7cdf26ed-1c7b-4f62-bc82-ff8c5f47b3e0","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Alpinia Leaf","Mature & Aging Skin","Extract",,,,"Promotes collagen production",,,
"943f42a4-ff9b-41a7-946b-b38677fd8905","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Alpinia Root","Mature & Aging Skin",,,,,"Age spot appearance reduction,Skin lightening",,,
"36e65562-f50c-46a0-9159-56df3a47887a","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Apricot Kernel Oil","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Carrier Oil",,"Oil Soluble","As with all other oils, a patch test should be conducted on the inner arm or other generally insensitive area of skin, using a dime size amount of Apricot Kernel Carrier Oil to check for sensitivities. An absence of an allergic response within 48 hours indicates that the oil is safe to use.

The topical application of Apricot Kernel Carrier Oil is not known to have side effects. In the rare chance of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action. To prevent side effects, consult with a medical professional prior to use.","Moisturising,Emollient,Anti-inflammatory,Antioxidant,Promotes collagen production,Skin lightening,Antibacterial,Antiseptic,Protecting,Anti-aging,Tissue & Cell Regeneration,Eczema","Fast absorbency,Light weight","2 moderately low likelihood",
"1fbe66d2-b320-4f72-a216-88bac627a44b","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Argan Oil","Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin","Carrier Oil",,"Oil Soluble","Nut Oil - The oil is derived from the fruit’s nut, which contains the proteins that trigger allergic responses. Accordingly, those with nut allergies should be cautious about using Argan Oil, as there have been some cases, though rare, that have reported adverse reactions. Despite the fact that Argan Oil is largely used in cosmetics for the purpose of treating acne and wrinkles, it may potentially cause an allergic reaction that could involve acne as well as anaphylaxis, difficulty breathing, rashes, and itchy, red, scaly skin. These reactions could possibly be caused by impure or low quality Argan Carrier Oil. It is recommended that a skin patch test be conducted on a small area on the inner arm to test for any potential reactions.","Hydrating,Anti-inflammatory,Soothing,Antioxidant,Balance sebum production,Calming,Smoothing,Softening,Elasticity",,"0 won’t clog pores at all",
"9702db4c-8c45-464b-a89a-394befeac893","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Avocado","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil",,"Oil Soluble","Potentially severe side effects of using Avocado Carrier Oil may include hives, abdominal pain, and vomiting. In the event of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action.

Individuals taking blood thinners to slow blood clotting may experience a drug interaction. To prevent these side effects, consult with a medical professional prior to use.","Moisturising,Emollient,Hydrating,Anti-inflammatory,Antioxidant,Astringent (improved elasticity),Antibacterial,Protecting,Smoothing,Anti-aging,Tissue & Cell Regeneration,Eczema","Medium absorbency,Heavy weight","2 moderately low likelihood",
"ebf07e17-76e0-4a55-a33b-75e66c69fc49","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Beeswax","Dry Skin,Sensitive & Eczema Prone Skin","Wax",,"Oil Soluble","NOT DONE YET","Moisturising,Emollient,Occlusive,Hydrating,Soothing,Calming,Smoothing",,,
"1b33384f-00ba-4c89-88f3-052bd1e06b42","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Benzoin","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Essential Oil,Botanical","Base","Oil Soluble","May cause skin sensitivity for some people
Do not use with young children","Anti-inflammatory,Increase blood circulation,Astringent (contracts & tones skin tissues),Antiseptic",,,
"87b41e48-4632-4b66-88e4-2a0627ab7797","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Bergamot Essential Oil","Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin","Essential Oil","Top","Oil Soluble","SEE NEW DIRECTIONS SHEET AND ADD

Avoid during pregnancy

Phototoxic – due to the presence of Bergaptene exposure to direct & prolonged sunlight needs to be avoided. Bergamot FCF is not phototoxic because bergaptene has been removed","Balance sebum production,Regulating,Antibacterial,Antiseptic",,,
"f6d7fca3-3e07-4a5e-ba12-a570e8794a7e","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Blue Elderberry Extract","Mature & Aging Skin","Extract",,,,"Age spot appearance reduction,Skin lightening",,,
"a596e492-be38-4705-bb67-2ba5fffcce4f","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Borage Oil","Dry Skin,Mature & Aging Skin","Carrier Oil",,,,"Moisturising,Emollient",,,
"6cf73706-c0ff-4f38-a6e6-2e1d547f76c0","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Calendula Extract","Sensitive & Eczema Prone Skin","Extract",,"Water Soluble","Do not apply directly to the skin unless patch tested first.

Avoid in pregnant or breastfeeding women. There is a lack of scientific evidence on the use of calendula during pregnancy or breastfeeding.","Anti-inflammatory,Soothing,Antioxidant,Promotes collagen production,Antibacterial,Antiseptic,Calming",,,"1-10% in water phase"
"8b649398-7525-40f0-a892-2e0b4a0a646d","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Calendula Infused Oil","Sensitive & Eczema Prone Skin","Oil infusion",,,,"Anti-inflammatory,Soothing,Calming",,,
"59b9e5fa-5315-4be4-b0ef-5f32a2cd48cf","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Camellia","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil",,,,"Moisturising,Emollient,Hydrating,Soothing,Calming,Smoothing",,,
"e13e73a5-8ff7-404e-af4e-d16fbec0c342","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Carrot Seed Essential Oil",,"Essential Oil","Middle","Oil Soluble","NOT DONE YET",,,,
"bf7c2b09-1da1-4e3d-9403-b70f9ca6faa0","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Carrot Tissue Infused Oil","Sensitive & Eczema Prone Skin","Carrier Oil,Oil infusion",,,,"Anti-inflammatory,Soothing,Calming",,,
"483faa8d-0d2c-474d-97fd-fbed35077409","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Castor BP","Dry Skin","Carrier Oil",,,,"Emollient",,,
"12bedc0c-e0b1-467c-9e52-ff8f01453938","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Chamomile Essential Oil","Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin","Essential Oil",,,,"Anti-inflammatory,Soothing,Calming",,,
"77fc9e17-a56e-460a-8cb3-d5474c3a16e3","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Chia Seed Oil","Sensitive & Eczema Prone Skin","Carrier Oil",,,,"Anti-inflammatory,Soothing,Calming",,,
"57b70698-bb3c-4fe1-a271-a8f2007577b3","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Cocoa Butter","Dry Skin,Sensitive & Eczema Prone Skin","Butter",,,,"Moisturising,Emollient,Hydrating,Smoothing",,,
"4b5a2753-c815-4d1c-b428-08674635a682","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Coconut oil","Dry Skin,Sensitive & Eczema Prone Skin","Carrier Oil",,"Oil Soluble","Individuals who use Coconut Oil to soothe acne on skin that is not very oily to begin with will likely enjoy the anti-bacterial properties of the Lauric Acid content; however, individuals with excessively oily skin are likely to experience what might appear to be aggravated skin. This reaction will likely occur due to the detoxifying properties of Virgin Coconut Oil that are powerful enough to purge layers of toxins from deep beneath the skin’s surface. This reaction will make skin appear as though the condition has worsened, but the irritation and inflammation will be temporary and will eventually decline in a matter of a few weeks – depending on the amount of toxin build-up – as the skin heals, improves, and clears up. To prevent the skin from flaring up in this manner, another possible option for acne-prone skin is to use Coconut Oil as a carrier for skin-soothing essential oils that are reputed to relieve acne.

Although it is a rare occurrence, Coconut Oil may potentially cause an allergic reaction that could involve anaphylaxis, eczema, facial swelling, hives, lightheadedness, nausea, rapid heart rate, rashes, or vomiting. Children with peanut or tree nut allergies are less likely to experience an allergic reaction to Coconut Oil, as coconuts are considered to be fruits rather than nuts; however, it is highly recommended that a doctor be consulted before these individuals use Coconut Oil. Children with hypothyroidism should refrain from using Coconut Oil or any related products without first consulting a medical practitioner, as it might aggravate the condition.","Moisturising,Emollient,Hydrating,Anti-inflammatory,Soothing,Antioxidant,Antibacterial,Calming","Fast absorbency","2 moderately low likelihood",
"b167a6b6-33d7-46aa-9ea1-9194075ee15e","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Cucumber Extract","Dry Skin","Extract",,"Water Soluble","NOT DONE YET","Moisturising,Emollient,Anti-inflammatory,Soothing",,,"1-5%"
"648418e9-1223-43e4-9efc-237afd756e54","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Cypress Essential Oil","Oily & Acne Prone Skin","Essential Oil","Middle","Oil Soluble","NOT DONE YET","Astringent (contracts & tones skin tissues)",,,
"a4eab401-8041-41c3-bc15-52adfa6bed66","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Dragon Fruit","Young Skin","Botanical",,,,"B1 - anti-stress vitamin,B2 - riboflavin,B3 - niacin,Antioxidant",,,
"ba991b35-1173-46a1-ac5a-43f22244ae05","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Evening Primrose Oil","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Carrier Oil",,"Oil Soluble","Pregnant and nursing women are especially advised not to use Evening Primrose Oil without the medical advice of a physician, as it may have an effect on certain hormone secretions and it is unclear whether these effects are transferable to babies at these stages of development. The oil should always be stored in an area that is inaccessible to children, especially those under the age of 7.

Those with the following health conditions are recommended to be advised by a physician: cancer, heart-related ailments, skin disorders, or hormone-related ailments. Individuals that are taking prescription drugs, undergoing major surgery, or who are at a greater risk of experiencing strokes, heart attacks, or atherosclerosis are also advised to seek medical consultation prior to use.

Prior to using Evening Primrose Oil, a skin test is recommended. This can be done by applying a dime-size amount of the oil to a small area of skin that is not sensitive. Evening Primrose Oil must never be used near the eyes, inner nose, and ears, or on any other particularly sensitive areas of skin. Potential side effects of Evening Primrose Oil include itchiness, nausea, headache, abdominal pain, diarrhea, seizures, vomiting, the rapid growth of nails, or bleeding. Those taking anti-coagulant medications may experience excessive bleeding.

Those seeking medical care to manage moods, behaviors, or disorders should treat this Carrier Oil as a complementary remedy rather than a replacement for any medicinal treatments or prescriptions. In the event of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action. To prevent side effects, consult with a medical professional prior to use.","Moisturising,Emollient,Anti-inflammatory,Antioxidant,Astringent (improved elasticity),Nourishing,Anti-aging,Eczema,Elasticity","Fast absorbency,Light weight","3 moderate likelihood",
"88b2b53a-7b11-4ebd-953d-13a7e175e67b","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Frankincense Essential Oil","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Young Skin","Essential Oil","Base","Oil Soluble","Not to be used in the 1st trimester of pregnancy","Moisturising,Hydrating,Astringent (improved elasticity),Cytophylactic,Astringent (contracts & tones skin tissues),Antiseptic,Smoothing,Tissue & Cell Regeneration",,,
"071319d1-d69d-4af5-856f-b4ea9647455b","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:27Z,2019-04-21T04:00:27Z,,"Geranium Essential Oil","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Essential Oil","Middle","Oil Soluble","May irritate very sensitive areas of skin.  

Do not use during 1st trimester of pregnancy.

Use in low dilution during 2nd and 3rd trimesters.","Anti-inflammatory,Astringent (improved elasticity),Cytophylactic,Balance sebum production,Astringent (contracts & tones skin tissues),Antibacterial,Antiseptic",,,
