INGREDIENT COMMON NAME,INGREDIENT INCI NAME,In Stock,Quantity in Stock (in grams),Supplier Name,CAS NO.,NICNAS Check Completed,Product Type,Skin Type,TYPE OF INGREDIENT,ESSENTIAL OIL NOTE,Solubility,Ingredient Benefits,SKIN PROBLEM,CONTRAINDICATIONS,Contraindications detailed,VISCOSITY,ABSORPTION RATE,COMEDOGENIC RATING,Composition,Recommended Concentration,Allergens,Relevant References,Other Important Information,4,K
Coconut oil,Cocos nucifera,Yes,,,,Yes,,"Dry Skin,Sensitive & Eczema Prone Skin","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Anti-inflammatory,Soothing,Antioxidant,Antibacterial,Calming","Dry,Dry and/or flaky on some portions of skin",Nut allergy,"Individuals who use Coconut Oil to soothe acne on skin that is not very oily to begin with will likely enjoy the anti-bacterial properties of the Lauric Acid content; however, individuals with excessively oily skin are likely to experience what might appear to be aggravated skin. This reaction will likely occur due to the detoxifying properties of Virgin Coconut Oil that are powerful enough to purge layers of toxins from deep beneath the skin’s surface. This reaction will make skin appear as though the condition has worsened, but the irritation and inflammation will be temporary and will eventually decline in a matter of a few weeks – depending on the amount of toxin build-up – as the skin heals, improves, and clears up. To prevent the skin from flaring up in this manner, another possible option for acne-prone skin is to use Coconut Oil as a carrier for skin-soothing essential oils that are reputed to relieve acne.

Although it is a rare occurrence, Coconut Oil may potentially cause an allergic reaction that could involve anaphylaxis, eczema, facial swelling, hives, lightheadedness, nausea, rapid heart rate, rashes, or vomiting. Children with peanut or tree nut allergies are less likely to experience an allergic reaction to Coconut Oil, as coconuts are considered to be fruits rather than nuts; however, it is highly recommended that a doctor be consulted before these individuals use Coconut Oil. Children with hypothyroidism should refrain from using Coconut Oil or any related products without first consulting a medical practitioner, as it might aggravate the condition.",Heavy,Slow,4,,,,,"Small molecular size which allows essential oil to be readily absorbed into skin when combined with Coil.
Coconut oil could potentially clog pores. Using a small amount and slowly testing your tolerance to it is recommended for those with oily or sensitive skin.",,
Cucumber Extract,Cucumis sativus (Cucumber) fruit extract,Yes,,,,,,Dry Skin,"Extract,aqueous high performance",,Water Soluble,"Moisturising,Emollient,Anti-inflammatory,Soothing","Itching,Redness",,NOT DONE YET,,,,,1-5%,,Composition : http://www.cir-safety.org/sites/default/files/cucum032012tent.pdf,,,
Cypress Essential Oil,Cupressus sempervirens (Cypress) essential oil,Yes,,,,,,,Essential Oil,Middle,Oil Soluble,Astringent (contracts & tones skin tissues),Enlarged pores,"Pregnancy,breastfeeding or nursing",NOT DONE YET,,,,,,,,,,
Dragon Fruit,,,,,,,,,Aqueous high performance,,,,,,,,,,,,,,,,
Eucalyptus EO,Eucalyptus Radiata (Australiana) Oil,Yes,100,AWO,92201-64-4,No,Anhydrous,,Essential Oil,,Oil Soluble,"Anti-inflammatory,Antibacterial",,,"As per NAHA guidelines, New Directions Aromatics (NDA) does not recommend the ingestion of essential oils. Pregnant and nursing women are particularly cautioned to avoid using the essential oil without medical guidance.

When applied topically, Eucalyptus Oil should ideally be used in dilution, as using the oil directly or in high concentrations can potentially cause skin irritation. A skin test is recommended prior to use. Eucalyptus Oil must never be used near the eyes, inner ears, or on any other particularly sensitive areas of skin.

The oil is generally safe for use on adult skin, but Eucalyptus Essential Oil should never be applied to the face of a child under 2 years old. Individuals who suffer from allergic sensitivities could potentially experience airborne contact dermatitis with the use of Eucalyptus Oil, which could be uncomfortable, if not dangerous.",,,,,,,,"1,8-Cineole (Eucalyptol) (70-75%)
Alpha Terpineol (5-10%)
Limonene (4-8%)
Alpha Pinene (2-6%)",,
Evening Primrose Oil,Oenothera biennis (Evening Primrose) Oil (certified organic),Yes,100,AWO,,,,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,,"Dry,Inflamed,Irritated,Itching,Redness,Loss of firmness & tone,Oily (overproduction of sebum),Predisposed to acne,Scarring,Damage from sun/environment and lifestyle,Dry and/or flaky on some portions of skin,Excessive oil on some parts (possibly in T-zone)","Pregnancy,breastfeeding or nursing","Pregnant and nursing women are especially advised not to use Evening Primrose Oil without the medical advice of a physician, as it may have an effect on certain hormone secretions and it is unclear whether these effects are transferable to babies at these stages of development. The oil should always be stored in an area that is inaccessible to children, especially those under the age of 7.

Those with the following health conditions are recommended to be advised by a physician: cancer, heart-related ailments, skin disorders, or hormone-related ailments. Individuals that are taking prescription drugs, undergoing major surgery, or who are at a greater risk of experiencing strokes, heart attacks, or atherosclerosis are also advised to seek medical consultation prior to use.

Prior to using Evening Primrose Oil, a skin test is recommended. This can be done by applying a dime-size amount of the oil to a small area of skin that is not sensitive. Evening Primrose Oil must never be used near the eyes, inner nose, and ears, or on any other particularly sensitive areas of skin. Potential side effects of Evening Primrose Oil include itchiness, nausea, headache, abdominal pain, diarrhea, seizures, vomiting, the rapid growth of nails, or bleeding. Those taking anti-coagulant medications may experience excessive bleeding.

Those seeking medical care to manage moods, behaviors, or disorders should treat this Carrier Oil as a complementary remedy rather than a replacement for any medicinal treatments or prescriptions. In the event of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action. To prevent side effects, consult with a medical professional prior to use.",Light,Fast,2,,,,"Elasticity & firmness support - 
Supports moisture retention - 
Supports inflammation regulation - 

- Muggli, R. 2005. “Systemic Evening Primrose Oil Improves the Biophysical Skin Parameters of Healthy Adults.” International Journal of Cosmetic Science 27 (4): 243–249. doi:10.1111/j.1467-2494.2005.00274.x.",,,
Frankincense Olibanum Essential Oil,Boswellia carterii (Frankincense) essential oil,Yes,,,,,"Anhydrous,Emulsion",,Essential Oil,Base,Oil Soluble,,"Dry,Appears & Feels Rough,Fine lines,Wrinkles,Loss of firmness & tone,Enlarged pores,Predisposed to acne,Scarring,Skin cell regeneration/turnover slows down","Pregnancy,breastfeeding or nursing",Avoid during pregnancy,,,,,,,"https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6FRAN

https://cosmetics.specialchem.com/product/i-new-directions-aromatics-frankincense-carterii-essential-oil

Skin density support - 
Fine line appearance -
Collagen promoting - 

- Calzavara-Pinton, P., Zane, C., Facchinetti, E., Capezzera, R., & Pedretti, A. (2010). Topical Boswellic acids for treatment of photoaged skin. Dermatologic Therapy, 23, S28–S32. https://doi.org/10.1111/J.1529-8019.2009.01284.X","Too add:
cleansing, cleans the pores, promotes healthy skin growth",,
Geoguard Ultra,Gluconolactone & sodium benzoate,Yes,,ASS,,,Aqueous,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination",Preservative,,Water Soluble,,,,None known,,,,,,,,,,
Geranium Essential Oil,Pelargonium graveolens (Geranium) essential oil,Yes,,,,,,,Essential Oil,Middle,Oil Soluble,,"Inflamed,Irritated,Itching,Redness,Loss of firmness & tone,Oily (overproduction of sebum),Enlarged pores,Predisposed to acne,Skin cell regeneration/turnover slows down,Excessive oil on some parts (possibly in T-zone)","Pregnancy,breastfeeding or nursing","May irritate very sensitive areas of skin.  

Do not use during 1st trimester of pregnancy.

Use in low dilution during 2nd and 3rd trimesters.",,,,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6GERAEGYPT,"To add:
anti-fungal, balancing, cicatrisant, stimulant
balances sebum production
cleansing, cleans the pores, promotes healthy skin growth, broken capillaries

As per NAHA guidelines, New Directions Aromatics (NDA) does not recommend the ingestion of essential oils. It is imperative to consult a medical practitioner before using this oil for therapeutic purposes. Pregnant and nursing women are especially advised not to use Geranium Essential Oil without the medical advice of a physician, as it may have an effect on certain hormone secretions and it is unclear whether these effects are transferable to babies at these stages of development. The oil should always be stored in an area that is inaccessible to children, especially those under the age of 7.

Due to Geranium Oil’s styptic property, those with the following health conditions are recommended to be advised: diabetes, cancer, high blood pressure and other heart-related ailments, peptic ulcers, liver damage, bleeding disorders, skin disorders, or hormone-related ailments. Individuals that are taking prescription drugs, undergoing major surgery, or who are at a greater risk of experiencing strokes, heart attacks, or atherosclerosis are also advised to seek medical consultation prior to use.",,
Ginseng,,,,,,,,Mature & Aging Skin,Aqueous high performance,,,Promote brightening,Dull complexion,,,,,,,,,,,,
Glycerin - vegetable/palm free,Glycerin,Yes,1000,ND,56-81-5,,,,Humectant,,,"Moisturising,Humectant,Hydrating,Soothing,Calming",,,NOT DONE YET,,,,,,,,,,
Grapeseed Oil,Vitis vinifera (Grapeseed) oil (certified organic),Yes,,AWO,,Yes,"Anhydrous,Emulsion","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,,"Dry,Inflamed,Irritated,Flaking,Scaling,Peeling,Itching,Redness,Loss of firmness & tone,Oily (overproduction of sebum),Predisposed to acne,Scarring,Damage from sun/environment and lifestyle,Tightness,Dry and/or flaky on some portions of skin,Excessive oil on some parts (possibly in T-zone)","Cholesterol,blood pressure,","Can be used by people with high blood pressure.

Individuals taking blood thinners or medication to lower cholesterol or blood pressure may experience a drug interaction that could possibly involve experiencing nausea and diarrhea due to its laxative properties.",Light,Fast,1,,"15% for lotions, creams, aged-skin care gel",,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4988453/

https://www.centerchem.com/Products/DownloadFile.aspx?FileID=6846

Acne Control - John Shi, Jianmel Yu, Joseph E. Pohorly, and Yukio Kakuda, 2003. Polyphenolics in Grape Seeds—Biochemistry and Functionality Journal of Medicinal Food 6:4, 291-299.
Support during sun exposure - Korać, Radavar, and Kapilm Khambholja. 2011. “Potential of Herbs in Skin Protection from Ultraviolet Radiation.” Pharmacognosy Reviews 5 (10): 164. doi:10.4103/0973-7847.91114.
Wrinkle appearance - Maffei FR, Carini M, Aldini G, Bombardelli E, Morazzoni P, Morelli R. 1994. Free radicals scavenging action and anti-enzyme activities of procyanidines from Vitis vinifera – a mechanism for their capillary protective action. Arzneimittel forsch 44: 592–601.","NEW DIRECTIONS AROMATICS:
LINOLEIC ACIDS (OMEGA 6) are known to:

Moisturize hair and promote its growth
Facilitate wound healing
Be an effective emulsifier in the formulation of soaps and quick-drying oils
Exhibit anti-inflammatory properties
Soothe acne and reduce chances of future outbreaks
Promote moisture retention in skin and hair
Make oils feel thinner in consistency when used in an oil blend, thus being beneficial for use on acne-prone skin
 
OLEIC ACIDS (OMEGA 9) are known to:

Maintain the softness, suppleness, and radiance of skin and hair
Stimulate the growth of thicker, longer, and stronger hair
Reduce the appearance of aging, such as premature wrinkles and fine lines
Eliminate dandruff and thereby support hair growth
Boost immunity
Exhibit anti-oxidant properties
Prevent joint inflammation, stiffness, and pain
 
PALMITIC ACID is known to:

Have emollient properties
Soften hair without leaving a greasy or sticky residue
Be the most common saturated fatty acid
 
STEARIC ACID is known to:

Have cleansing properties that purge dirt, sweat, and excess sebum from hair and skin
Be an ideal emulsifying agent that binds water and oil
Help products remain potent when stored for long periods of time
Condition and protect hair from damage without diminishing luster or making it feel heavy
Have exceptional cleansing properties
Soften skin
 
PALMITOLEIC ACID is known to:

Delay the appearance of premature aging
Moisturize and tighten the skin
Promote the growth of shiny hair
Enhance the brightness of the complexion
Boost the growth of healthy-looking nails
Enhance skin elasticity to prevent symptoms of premature aging, such as wrinkles
 
VITAMIN E is known to:

Have antioxidant properties that slow the look of aging and boost circulation
Repair scarred and blemished skin
Prevent moisture loss from skin and hair
Offer soothing relief to skin that has been burned
Deeply cleanse pores and balance oil production
 
BETA-CAROTENE is known to:

Exhibit antioxidant properties
Contribute a red-orange pigment to the oil’s color
Soothe acne and burns
Reduce the appearance of age spots
Tighten skin
Slow the look of aging",,
Green Tea Extract,,,,,,,,,Aqueous high performance,,Water Soluble,"Anti-inflammatory,Soothing,Calming","Inflamed,Irritated,Predisposed to acne",,NOT DONE YET,,,,,,,,,,
Hazelnut Oil,,,,,,,"Anhydrous,Emulsion",,"Carrier Oil,anhydrous base",,Oil Soluble,,Loss of firmness & tone,Nut allergy,"Nut Oil
Should be avoided by those with nut allergies",Light,Fast,1,,,,,,,
Hemp Seed Oil Certified Organic,Cannabis sativa (Hemp) seed oil (certified organic),Yes,,AWO,,,"Anhydrous,Emulsion","Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Soothing,Balance sebum production,Calming","Dry,Fine dehydration lines,Oily (overproduction of sebum),Predisposed to acne,Dry and/or flaky on some portions of skin,Eczema","Pregnancy,breastfeeding or nursing","Pregnant and nursing women are especially advised not to use Hemp Carrier Oil without the medical advice of a physician, as it may have an effect on certain hormone secretions and it is unclear whether these effects are transferable to babies at these stages of development.",Light,Fast,0,,Up to 10% or 100% directly,,,Driest natural oil available,,
Hibiscus Extract,,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,"Promotes collagen production,Promote brightening","Fine lines,Wrinkles,Dull complexion",,,,,,,,,,,,
Horse Chestnut Extract,,,,,,,,,"Extract,aqueous high performance",,,,,,,,,,,,,,,,
Hyaluronic Acid,100% Hyaluronic Acid Powder,Yes,,AWO,,Yes,,,Humectant,,Water Soluble,,,,NOT DONE YET,,,,,Use only at low concentration 0.05-3%,,"<a href=""https://cosmetics.specialchem.com/product/i-dsm-hyaluronic-acid"">https://cosmetics.specialchem.com/product/i-dsm-hyaluronic-acid</a>","Helps to preserve the most important characteristics of youthful, healthy skin, such as suppleness, elasticity and tone and supports the natural protective mechanism of the skin. (SpecialChem)

As we age our production naturally decreases and we begin to notice alterations in our skin such as wrinkling or dry skin. A product containing Hyaluronic Acid would be beneficial for mature or dry skin to help restore smoothness and elasticity of the skin. (New Directions)",,
Hydrogen Peroxide 3%,Hydrogen Peroxide,Yes,300,NW,7722-84-1,,,,,,,,,,,,,,,,,,,,
Hydrolyzed Wheat Protein,,,,,,,,Dry Skin,,,,,,,,,,,,,,,,,
Jasmine,Jasminum officinale,Yes,,,,,Anhydrous,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin",Essential Oil,Base,Oil Soluble,"Anti-inflammatory,Antiseptic,Smoothing,Softening,Promotes healthy skin growth","Inflamed,Irritated,Appears & Feels Rough,Itching,Redness,Oily (overproduction of sebum),Predisposed to acne","Pregnancy,breastfeeding or nursing",Do not use in pregnancy until the birthing process has started,,,,,,,,"To add:
cicatrisant, promotes growth of healthy skin, soothes irritation, softening",,
